glia_anchor,neighbor,labels,deg_local,edges_cbm,edges_gpt
ASTROCYTE ACTIVATION,COVID-19,[Disease],724,724,0
ASTROCYTE ACTIVATION,IL6,[Gene],119,119,0
ASTROCYTE ACTIVATION,TNF,[Gene],104,103,0
ASTROCYTE ACTIVATION,IL1B,[Gene],93,93,0
ASTROCYTE ACTIVATION,CYTOKINE PRODUCTION INVOLVED IN INFLAMMATORY RESPONSE,[Biological_Process],75,75,0
ASTROCYTE ACTIVATION,MICROGLIAL CELL ACTIVATION,[Biological_Process],65,65,0
ASTROCYTE ACTIVATION,CYTOKINE STORM,[Biological_Process],61,61,0
ASTROCYTE ACTIVATION,AGING,[Biological_Process],19,19,0
ASTROCYTE ACTIVATION,ACTIVATED MICROGLIA M1,[Cell_Phenotype],17,17,0
ASTROCYTE ACTIVATION,ALZHEIMER'S DISEASE,[Disease],17,17,0
ASTROCYTE ACTIVATION,INTERFERONS,[Protein],17,15,0
ASTROCYTE ACTIVATION,NEUROINFLAMMATION,[Biological_Process],15,6,0
ASTROCYTE ACTIVATION,ENDOCYTOSIS,[Biological_Process],14,14,0
ASTROCYTE ACTIVATION,MAINTENANCE OF BLOOD-BRAIN BARRIER,[Biological_Process],14,14,0
ASTROCYTE ACTIVATION,IL10,[Gene],12,12,0
ASTROCYTE ACTIVATION,INFLAMMATION,[Biological_Process],12,10,1
ASTROCYTE ACTIVATION,MICROGLILA CELL ACTIVATION,[Biological_Process],11,11,0
ASTROCYTE ACTIVATION,CYTOKINE HYPERACTIVATION,[Biological_Process],10,10,0
ASTROCYTE ACTIVATION,NEURON APOPTOTIC PROCESS,[Biological_Process],10,10,0
ASTROCYTE ACTIVATION,PERSISTENT INFECTION,[Disease],10,10,0
ASTROCYTE ACTIVATION,T CELL ACTIVATION,[Biological_Process],10,10,0
ASTROCYTE ACTIVATION,ANGIOTENSIN II,[Chemical],8,8,0
ASTROCYTE ACTIVATION,CELL STRESS FACTOR,[Phenotype],8,8,0
ASTROCYTE ACTIVATION,MAS1,[Gene],8,8,0
ASTROCYTE ACTIVATION,A1 ASTROCYTE,[Cell_Phenotype],7,7,0
ASTROCYTE ACTIVATION,A1 MICROGLIA,[Cell_Phenotype],7,7,0
ASTROCYTE ACTIVATION,ANGIOTENSIN 1-7,[Chemical],7,7,0
ASTROCYTE ACTIVATION,CD4-POSITIVE T-LYMPHOCYTES,[Cell],7,7,0
ASTROCYTE ACTIVATION,EPILEPSY,[Disease],7,7,0
ASTROCYTE ACTIVATION,ERIODICTYOL,[Chemical],7,7,0
ASTROCYTE ACTIVATION,M1 ASTROCYTE,[Cell_Phenotype],7,7,0
ASTROCYTE ACTIVATION,M1 MICROGLIA,[Cell_Phenotype],7,7,0
ASTROCYTE ACTIVATION,MAST CELL ACTIVATION,[Biological_Process],7,7,0
ASTROCYTE ACTIVATION,NEUROGENESIS,[Biological_Process],7,7,0
ASTROCYTE ACTIVATION,POST-TRAUMATIC STRESS DISORDER,[Disease],7,7,0
ASTROCYTE ACTIVATION,BIPOLAR DISORDER,[Disease],6,6,0
ASTROCYTE ACTIVATION,COMPOUND X,[Chemical],6,6,0
ASTROCYTE ACTIVATION,DEPRESSIVE DISORDER,[Disease],6,6,0
ASTROCYTE ACTIVATION,INFLAMMATORY RESPONSE,[Biological_Process],6,6,0
ASTROCYTE ACTIVATION,MATURE ASTROCYTE,[Cell],6,6,0
ASTROCYTE ACTIVATION,MICROGIAL CELL ACTIVATION,[Biological_Process],6,6,0
ASTROCYTE ACTIVATION,NEUROCOVID,[Disease],6,6,0
ASTROCYTE ACTIVATION,OBSESSIVE-COMPULSIVE DISORDER,[Disease],6,6,0
ASTROCYTE ACTIVATION,OXIDATIVE_STRESS,[Biological_Process],6,0,0
ASTROCYTE ACTIVATION,PERIPHERAL IMMUNE RESPONSE,[Biological_Process],6,6,0
ASTROCYTE ACTIVATION,PSYCHOSIS,[Disease],6,6,0
ASTROCYTE ACTIVATION,SYSTEMIC INFLAMMATION,[Biological_Process],6,6,0
ASTROCYTE ACTIVATION,TAUOPATHY,[Disease],6,6,0
ASTROCYTE ACTIVATION,ACE2,[Gene],5,5,0
ASTROCYTE ACTIVATION,CYTOKINE LEAK,[Phenotype],5,5,0
ASTROCYTE ACTIVATION,CYTOKINES,[Protein],5,3,2
ASTROCYTE ACTIVATION,CYTOKINE_STORM,[Biological_Process],5,0,0
