covid_anchor,bbb_anchor,hoplen,mediators,cbm_edges,gpt_edges
SARS-COV-2,BBB,1,[],0,0
SARS-COV-2,BBB,1,[],0,0
SARS-COV-2,BBB,1,[],0,0
SARS-COV-2,BBB,1,[],0,0
SARS-COV-2,BBB,1,[],0,0
SARS-COV-2,BBB_LEAKAGE,1,[],0,0
SARS-COV-2,BBB_LEAKAGE,2,[],0,2
SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,BBB_LEAKAGE,2,[],1,1
SARS-COV-2,BBB,2,[],0,1
SARS-COV-2,BBB,2,[],0,1
SARS-COV-2,BBB_BREAKDOWN,2,[],0,1
SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,BBB,2,[],1,0
SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,BBB,2,[],1,0
SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,BBB,2,[],1,0
SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,BBB,2,[],1,0
SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,BBB,2,[],1,0
SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,BBB_BREAKDOWN,2,[],1,0
SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,BBB_BREAKDOWN,2,[],1,0
SARS-COV-2,BBB_BREAKDOWN,2,[],0,0
SARS-COV-2,BBB_BREAKDOWN,2,[],0,0
SARS-COV-2,BBB_BREAKDOWN,3,[OLFACTORY_EPITHELIUM],0,3
SARS-COV-2,BBB_BREAKDOWN,3,[MACROPHAGE],1,1
SARS-COV-2,BBB_BREAKDOWN,3,[MACROPHAGE],1,1
SARS-COV-2,BBB_BREAKDOWN,3,[CYTOKINE_STORM],0,2
SARS-COV-2,BBB_BREAKDOWN,3,[CYTOKINE_STORM],0,2
SARS-COV-2,BBB_BREAKDOWN,3,[CYTOKINE_STORM],0,2
SARS-COV-2,BBB_BREAKDOWN,3,[CYTOKINE_STORM],0,2
SARS-COV-2,BBB_BREAKDOWN,3,[CYTOKINE_STORM],0,2
SARS-COV-2,BBB_BREAKDOWN,3,[CYTOKINE_STORM],0,1
SARS-COV-2,BBB_BREAKDOWN,3,[CYTOKINE_STORM],0,1
SARS-COV-2,BBB_BREAKDOWN,3,[CYTOKINE_STORM],0,1
SARS-COV-2,BBB_BREAKDOWN,3,[CYTOKINE_STORM],0,1
SARS-COV-2,BBB_BREAKDOWN,3,[CYTOKINE_STORM],0,1
SARS-COV-2,BBB_BREAKDOWN,3,[CYTOKINE_STORM],0,1
SARS-COV-2,BBB_BREAKDOWN,3,[CYTOKINE_STORM],0,1
SARS-COV-2,BBB_BREAKDOWN,3,[CYTOKINE_STORM],0,1
SARS-COV-2,BBB_BREAKDOWN,3,[CYTOKINE_STORM],0,1
SARS-COV-2,BBB_BREAKDOWN,3,[CYTOKINE_STORM],0,1
