name,labels,deg_total,deg_cbm,deg_gpt,deg_gpt_fulltext,name_short
IL6,[Gene],56,55,1,0,IL6
TNF,[Gene],49,47,0,2,TNF
IL1B,[Gene],43,43,0,0,IL1B
IL-6,[Gene],30,0,3,27,IL-6
CCL11,[Gene],19,5,7,7,CCL11
CXCL8,[Gene],12,9,0,3,CXCL8
IL2,[Gene],10,10,0,0,IL2
IL-17,[Protein],9,0,0,9,IL-17
CCL2,[Gene],7,4,0,3,CCL2
CXCL10,[Gene],7,6,0,1,CXCL10
IL-8,[Protein],6,0,0,6,IL-8
CXCL9,[Gene],4,2,0,2,CXCL9
CXCL-8,[Protein],2,0,0,2,CXCL-8
IL1A,[Gene],2,2,0,0,IL1A
IL22,[Gene],2,2,0,0,IL22
IL18,[Gene],1,1,0,0,IL18
CXCL12,[Gene],1,1,0,0,CXCL12
CCL1,[Gene],1,1,0,0,CCL1
