Image_number,URL,PMID,Pathophysiological_Process,Anatomy,Cell,Subject,Predicate,Object,Source,Normalized_Input,Category
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Anosmia,olfactory gland,olfactory ectomesenchymal cell; sustentacular cell; olfactory receptor cell,COVID-19,increases,IL6,CBM,covid 19 il6,Systemic Cross-Organ Effects
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Anosmia,olfactory gland,olfactory ectomesenchymal cell; sustentacular cell; olfactory receptor cell,COVID-19,increases,type I interferon,CBM,covid 19 type i interferon,Immune and Inflammatory Response
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Anosmia,olfactory gland,olfactory ectomesenchymal cell; sustentacular cell; olfactory receptor cell,COVID-19,increases,CXCL10,CBM,covid 19 cxcl10,Systemic Cross-Organ Effects
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Anosmia,olfactory gland,olfactory ectomesenchymal cell; sustentacular cell; olfactory receptor cell,IL6,increases,inflammatory response,CBM,il6 inflammatory response,Viral Entry and Neuroinvasion
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Anosmia,olfactory gland,olfactory ectomesenchymal cell; sustentacular cell; olfactory receptor cell,type I interferon,increases,inflammatory response,CBM,type i interferon inflammatory response,Immune and Inflammatory Response
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Anosmia,olfactory gland,olfactory ectomesenchymal cell; sustentacular cell; olfactory receptor cell,CXCL10,increases,inflammatory response,CBM,cxcl10 inflammatory response,Immune and Inflammatory Response
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Anosmia,olfactory gland,olfactory ectomesenchymal cell; sustentacular cell; olfactory receptor cell,inflammatory response,increases,Anosmia,CBM,inflammatory response anosmia,Immune and Inflammatory Response
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Brain fog; Neuropsychiatric disorder,cigulate cortex; Hippocampus; Amygdala,Neurons,reactive oxygen species,increases,hypoxia,CBM,reactive oxygen species hypoxia,Systemic Cross-Organ Effects
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Brain fog; Neuropsychiatric disorder,cigulate cortex; Hippocampus; Amygdala,Neurons,reactive oxygen species,increases,ischemia,CBM,reactive oxygen species ischemia,Systemic Cross-Organ Effects
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Brain fog; Neuropsychiatric disorder,cigulate cortex; Hippocampus; Amygdala,Neurons,reactive oxygen species,increases,Nerve Degeneration,CBM,reactive oxygen species nerve degeneration,Neurodegenerative Mechanisms
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Neurocognitive Disorders,Medulla Oblongata; Cerebellum; Pons,Missing,COVID-19,increases,microglial cell activation,CBM,covid 19 microglial cell activation,Immune and Inflammatory Response
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Neurocognitive Disorders,Medulla Oblongata; Cerebellum; Pons,Missing,COVID-19,increases,astrocyte activation,CBM,covid 19 astrocyte activation,Systemic Cross-Organ Effects
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Neurocognitive Disorders,Medulla Oblongata; Cerebellum; Pons,Missing,COVID-19,increases,cytotoxic T cell infiltration,CBM,covid 19 cytotoxic t cell infiltration,Immune and Inflammatory Response
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Dysbiosis,Gastrointestinal tract,Missing,COVID-19,increases,Dysbiosis,CBM,covid 19 dysbiosis,Systemic Cross-Organ Effects
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Dysbiosis,Gastrointestinal tract,Missing,Dysbiosis,regulates,Brain-Gut Axis,CBM,dysbiosis brain gut axis,Systemic Cross-Organ Effects
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Dysbiosis,Gastrointestinal tract,Missing,COVID-19,regulates,ACE2,CBM,covid 19 ace2,Systemic Cross-Organ Effects
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Dysbiosis,Gastrointestinal tract,Missing,COVID-19,regulates,DDC,CBM,covid 19 ddc,Systemic Cross-Organ Effects
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,glial cell activation,Brain,Missing,lockdown psychosocial stress,increases,glial cell activation,CBM,lockdown psychosocial stress glial cell activation,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,glial cell activation,Brain,Missing,glial cell activation,positiveCorrelation,depressive disorder,CBM,glial cell activation depressive disorder,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,glial cell activation,Brain,Missing,glial cell activation,positiveCorrelation,bipolar disorder,CBM,glial cell activation bipolar disorder,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,glial cell activation,Brain,Missing,glial cell activation,positiveCorrelation,post-traumatic stress disorder,CBM,glial cell activation post traumatic stress disorder,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,glial cell activation,Brain,Missing,glial cell activation,positiveCorrelation,psychosis,CBM,glial cell activation psychosis,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,glial cell activation,Brain,Missing,glial cell activation,positiveCorrelation,obsessive-compulsive disorder,CBM,glial cell activation obsessive compulsive disorder,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,glial cell activation,Brain,Missing,glial cell activation,positiveCorrelation,epilepsy,CBM,glial cell activation epilepsy,Viral Entry and Neuroinvasion
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,glial cell activation,Brain,Missing,glial cell activation,positiveCorrelation,Alzheimer's disease,CBM,glial cell activation alzheimer's disease,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,Missing,Circumventricular Organs,Missing,COVID-19,increases,glial cell activation,CBM,covid 19 glial cell activation,Systemic Cross-Organ Effects
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,depressive disorder,positiveCorrelation,IL6,CBM,depressive disorder il6,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,bipolar disorder,positiveCorrelation,IL6,CBM,bipolar disorder il6,Viral Entry and Neuroinvasion
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,post-traumatic stress disorder,positiveCorrelation,IL6,CBM,post traumatic stress disorder il6,Immune and Inflammatory Response
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,psychosis,positiveCorrelation,IL6,CBM,psychosis il6,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,obsessive-compulsive disorder,positiveCorrelation,IL6,CBM,obsessive compulsive disorder il6,Immune and Inflammatory Response
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,epilepsy,positiveCorrelation,IL6,CBM,epilepsy il6,Viral Entry and Neuroinvasion
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,Alzheimer's disease,positiveCorrelation,IL6,CBM,alzheimer's disease il6,Viral Entry and Neuroinvasion
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,depressive disorder,positiveCorrelation,TNF,CBM,depressive disorder tnf,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,bipolar disorder,positiveCorrelation,TNF,CBM,bipolar disorder tnf,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,post-traumatic stress disorder,positiveCorrelation,TNF,CBM,post traumatic stress disorder tnf,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,psychosis,positiveCorrelation,TNF,CBM,psychosis tnf,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,obsessive-compulsive disorder,positiveCorrelation,TNF,CBM,obsessive compulsive disorder tnf,Immune and Inflammatory Response
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,epilepsy,positiveCorrelation,TNF,CBM,epilepsy tnf,Viral Entry and Neuroinvasion
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,Alzheimer's disease,positiveCorrelation,TNF,CBM,alzheimer's disease tnf,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,depressive disorder,increases,IL1B,CBM,depressive disorder il1b,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,bipolar disorder,increases,IL1B,CBM,bipolar disorder il1b,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,post-traumatic stress disorder,increases,IL1B,CBM,post traumatic stress disorder il1b,Viral Entry and Neuroinvasion
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,psychosis,increases,IL1B,CBM,psychosis il1b,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,obsessive-compulsive disorder,increases,IL1B,CBM,obsessive compulsive disorder il1b,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,epilepsy,increases,IL1B,CBM,epilepsy il1b,Viral Entry and Neuroinvasion
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,Alzheimer's disease,increases,IL1B,CBM,alzheimer's disease il1b,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,peripheral inflammation,Lungs,Missing,COVID-19,increases,peripheral inflammation,CBM,covid 19 peripheral inflammation,Systemic Cross-Organ Effects
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,peripheral inflammation,Lungs,Missing,peripheral inflammation,increases,glial cell activation,CBM,peripheral inflammation glial cell activation,Immune and Inflammatory Response
image_3,https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png,36899820,COVID-19,Lungs,Missing,COVID-19,increases,inflammation,CBM,covid 19 inflammation,Systemic Cross-Organ Effects
image_3,https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png,36899820,COVID-19,Lungs,Missing,COVID-19,increases,leukocyte migration to CNS,CBM,covid 19 leukocyte migration to cns,Immune and Inflammatory Response
image_3,https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png,36899820,Missing,Gastrointestinal Tract,Missing,COVID-19,increases,Dysbiosis,CBM,covid 19 dysbiosis,Systemic Cross-Organ Effects
image_3,https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png,36899820,Missing,Blood-Brain Barrier,Missing,COVID-19,increases,impaired blood-brain barrier function,CBM,covid 19 impaired blood brain barrier function,Viral Entry and Neuroinvasion
image_3,https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png,36899820,Missing,Blood-Brain Barrier,Missing,COVID-19,increases,Th1/Th17 polarization,CBM,covid 19 th1/th17 polarization,Systemic Cross-Organ Effects
