Image_number;URL;PMID;Pathophysiological Process;Anatomy;Cell;Subject;Object;Source;Predicate
image_1;https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;36899952;Anosmia;olfactory gland;"olfactory ectomesenchymal cell; sustentacular cell; olfactory receptor cell";COVID-19;IL6;CBM;INCREASE
image_1;https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;36899952;Anosmia;olfactory gland;"olfactory ectomesenchymal cell; sustentacular cell; olfactory receptor cell";COVID-19;type I interferon;CBM;INCREASE
image_1;https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;36899952;Anosmia;olfactory gland;"olfactory ectomesenchymal cell; sustentacular cell; olfactory receptor cell";COVID-19;CXCL10;CBM;INCREASE
image_1;https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;36899952;Anosmia;olfactory gland;"olfactory ectomesenchymal cell; sustentacular cell; olfactory receptor cell";IL6;inflammatory response;CBM;INCREASE
image_1;https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;36899952;Anosmia;olfactory gland;"olfactory ectomesenchymal cell; sustentacular cell; olfactory receptor cell";type I interferon;inflammatory response;CBM;INCREASE
image_1;https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;36899952;Anosmia;olfactory gland;"olfactory ectomesenchymal cell; sustentacular cell; olfactory receptor cell";CXCL10;inflammatory response;CBM;INCREASE
image_1;https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;36899952;Anosmia;olfactory gland;"olfactory ectomesenchymal cell; sustentacular cell; olfactory receptor cell";inflammatory response;Anosmia;CBM;INCREASE
image_1;https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;36899952;"Brain fog; Neuropsychiatric disorder";"cigulate cortex; Hippocampus; Amygdala";Neurons;reactive oxygen species;hypoxia;CBM;INCREASE
image_1;https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;36899952;"Brain fog; Neuropsychiatric disorder";"cigulate cortex; Hippocampus; Amygdala";Neurons;reactive oxygen species;ischemia;CBM;INCREASE
image_1;https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;36899952;"Brain fog; Neuropsychiatric disorder";"cigulate cortex; Hippocampus; Amygdala";Neurons;reactive oxygen species;Nerve Degeneration;CBM;INCREASE
image_1;https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;36899952;Neurocognitive Disorders;"Medulla Oblongata; Cerebellum; Pons";Missing;COVID-19;microglial cell activation;CBM;INCREASE
image_1;https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;36899952;Neurocognitive Disorders;"Medulla Oblongata; Cerebellum; Pons";Missing;COVID-19;astrocyte activation;CBM;INCREASE
image_1;https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;36899952;Neurocognitive Disorders;"Medulla Oblongata; Cerebellum; Pons";Missing;COVID-19;cytotoxic T cell infiltration;CBM;INCREASE
image_1;https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;36899952;Dysbiosis;Gastrointestinal tract;Missing;COVID-19;Dysbiosis;CBM;INCREASE
image_1;https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;36899952;Dysbiosis;Gastrointestinal tract;Missing;Dysbiosis;Brain-Gut Axis;CBM;REGULATE
image_1;https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;36899952;Dysbiosis;Gastrointestinal tract;Missing;COVID-19;ACE2;CBM;REGULATE
image_1;https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;36899952;Dysbiosis;Gastrointestinal tract;Missing;COVID-19;DDC;CBM;REGULATE
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;glial cell activation;Brain;Missing;lockdown psychosocial stress;glial cell activation;CBM;INCREASE
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;glial cell activation;Brain;Missing;glial cell activation;depressive disorder;CBM;POSITIVECORRELATION
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;glial cell activation;Brain;Missing;glial cell activation;bipolar disorder;CBM;POSITIVECORRELATION
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;glial cell activation;Brain;Missing;glial cell activation;post-traumatic stress disorder;CBM;POSITIVECORRELATION
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;glial cell activation;Brain;Missing;glial cell activation;psychosis;CBM;POSITIVECORRELATION
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;glial cell activation;Brain;Missing;glial cell activation;obsessive-compulsive disorder;CBM;POSITIVECORRELATION
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;glial cell activation;Brain;Missing;glial cell activation;epilepsy;CBM;POSITIVECORRELATION
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;glial cell activation;Brain;Missing;glial cell activation;Alzheimer's disease;CBM;POSITIVECORRELATION
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;Missing;Circumventricular Organs;Missing;COVID-19;glial cell activation;CBM;INCREASE
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;cytokine production involved in inflammatory response;Hypothalamo-Hypophyseal Axis;Missing;depressive disorder;IL6;CBM;POSITIVECORRELATION
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;cytokine production involved in inflammatory response;Hypothalamo-Hypophyseal Axis;Missing;bipolar disorder;IL6;CBM;POSITIVECORRELATION
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;cytokine production involved in inflammatory response;Hypothalamo-Hypophyseal Axis;Missing;post-traumatic stress disorder;IL6;CBM;POSITIVECORRELATION
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;cytokine production involved in inflammatory response;Hypothalamo-Hypophyseal Axis;Missing;psychosis;IL6;CBM;POSITIVECORRELATION
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;cytokine production involved in inflammatory response;Hypothalamo-Hypophyseal Axis;Missing;obsessive-compulsive disorder;IL6;CBM;POSITIVECORRELATION
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;cytokine production involved in inflammatory response;Hypothalamo-Hypophyseal Axis;Missing;epilepsy;IL6;CBM;POSITIVECORRELATION
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;cytokine production involved in inflammatory response;Hypothalamo-Hypophyseal Axis;Missing;Alzheimer's disease;IL6;CBM;POSITIVECORRELATION
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;cytokine production involved in inflammatory response;Hypothalamo-Hypophyseal Axis;Missing;depressive disorder;TNF;CBM;POSITIVECORRELATION
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;cytokine production involved in inflammatory response;Hypothalamo-Hypophyseal Axis;Missing;bipolar disorder;TNF;CBM;POSITIVECORRELATION
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;cytokine production involved in inflammatory response;Hypothalamo-Hypophyseal Axis;Missing;post-traumatic stress disorder;TNF;CBM;POSITIVECORRELATION
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;cytokine production involved in inflammatory response;Hypothalamo-Hypophyseal Axis;Missing;psychosis;TNF;CBM;POSITIVECORRELATION
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;cytokine production involved in inflammatory response;Hypothalamo-Hypophyseal Axis;Missing;obsessive-compulsive disorder;TNF;CBM;POSITIVECORRELATION
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;cytokine production involved in inflammatory response;Hypothalamo-Hypophyseal Axis;Missing;epilepsy;TNF;CBM;POSITIVECORRELATION
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;cytokine production involved in inflammatory response;Hypothalamo-Hypophyseal Axis;Missing;Alzheimer's disease;TNF;CBM;POSITIVECORRELATION
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;cytokine production involved in inflammatory response;Hypothalamo-Hypophyseal Axis;Missing;depressive disorder;IL1B;CBM;INCREASE
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;cytokine production involved in inflammatory response;Hypothalamo-Hypophyseal Axis;Missing;bipolar disorder;IL1B;CBM;INCREASE
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;cytokine production involved in inflammatory response;Hypothalamo-Hypophyseal Axis;Missing;post-traumatic stress disorder;IL1B;CBM;INCREASE
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;cytokine production involved in inflammatory response;Hypothalamo-Hypophyseal Axis;Missing;psychosis;IL1B;CBM;INCREASE
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;cytokine production involved in inflammatory response;Hypothalamo-Hypophyseal Axis;Missing;obsessive-compulsive disorder;IL1B;CBM;INCREASE
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;cytokine production involved in inflammatory response;Hypothalamo-Hypophyseal Axis;Missing;epilepsy;IL1B;CBM;INCREASE
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;cytokine production involved in inflammatory response;Hypothalamo-Hypophyseal Axis;Missing;Alzheimer's disease;IL1B;CBM;INCREASE
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;peripheral inflammation;Lungs;Missing;COVID-19;peripheral inflammation;CBM;INCREASE
image_2;https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;32732883;peripheral inflammation;Lungs;Missing;peripheral inflammation;glial cell activation;CBM;INCREASE
image_3;https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png;36899820;COVID-19;Lungs;Missing;COVID-19;inflammation;CBM;INCREASE
image_3;https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png;36899820;COVID-19;Lungs;Missing;COVID-19;leukocyte migration to CNS;CBM;INCREASE
image_3;https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png;36899820;Missing;Gastrointestinal Tract;Missing;COVID-19;Dysbiosis;CBM;INCREASE
image_3;https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png;36899820;Missing;Blood-Brain Barrier;Missing;COVID-19;impaired blood-brain barrier function;CBM;INCREASE
image_3;https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png;36899820;Missing;Blood-Brain Barrier;Missing;COVID-19;Th1/Th17 polarization;CBM;INCREASE
image_3;https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png;36899820;Missing;Blood-Brain Barrier;Missing;COVID-19;NLRP3 inflammasome complex assembly;CBM;INCREASE
image_3;https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png;36899820;Missing;Microglia;Missing;COVID-19;demyelination;CBM;INCREASE
image_3;https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png;36899820;Missing;Microglia;Missing;COVID-19;CD4-positive, CD25-positive, alpha-beta regulatory T cell;CBM;DECREASE
image_4;https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png;Not_found;COVID-19;Missing;Missing;COVID-19;Abnormality of the nervous system;CBM;INCREASE
image_4;https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png;Not_found;COVID-19;Missing;Missing;COVID-19;Brain Injuries;CBM;INCREASE
image_4;https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png;Not_found;COVID-19;Missing;Missing;COVID-19;Mental deterioration;CBM;INCREASE
image_4;https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png;Not_found;COVID-19;Missing;Missing;COVID-19;Brain fog;CBM;INCREASE
image_4;https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png;Not_found;COVID-19;Missing;Missing;COVID-19;dementia;CBM;INCREASE
image_4;https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png;Not_found;COVID-19;Missing;Missing;COVID-19;psychotic disorder;CBM;INCREASE
image_4;https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png;Not_found;COVID-19;Missing;Missing;COVID-19;epilepsy;CBM;INCREASE
image_4;https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png;Not_found;COVID-19;Missing;Missing;COVID-19;seizure;CBM;INCREASE
image_5;https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png;38049610;COVID-19;Central Nervous System;Missing;COVID-19;Unusual CNS infection;CBM;INCREASE
image_5;https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png;38049610;Missing;Missing;barrier cell;COVID-19;infection;CBM;INCREASE
image_5;https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png;38049610;Missing;Missing;barrier cell;COVID-19;cerebrovascular disease;CBM;INCREASE
image_5;https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png;38049610;Missing;Missing;barrier cell;cerebrovascular disease;ischemia;CBM;INCREASE
image_5;https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png;38049610;Missing;Missing;barrier cell;COVID-19;thrombosis;CBM;INCREASE
image_5;https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png;38049610;Missing;Missing;barrier cell;thrombosis;ischemia;CBM;INCREASE
image_5;https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png;38049610;Missing;Missing;barrier cell;COVID-19;ischemia;CBM;INCREASE
image_5;https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png;38049610;Missing;Missing;barrier cell;COVID-19;Lung Injury;CBM;INCREASE
image_5;https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png;38049610;Missing;Missing;barrier cell;Lung Injury;Hypoxia;CBM;INCREASE
image_5;https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png;38049610;Missing;Missing;barrier cell;COVID-19;disease of metabolism;CBM;INCREASE
image_5;https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png;38049610;Missing;Missing;barrier cell;COVID-19;Epstein-Barr Virus Reactivation;CBM;INCREASE
image_5;https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png;38049610;Missing;Missing;barrier cell;COVID-19;Virus Reactivation;CBM;INCREASE
image_5;https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png;38049610;Missing;Missing;barrier cell;COVID-19;immune response;CBM;INCREASE
image_5;https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png;38049610;Missing;Missing;barrier cell;COVID-19;autoimmune response;CBM;INCREASE
