URL;Pathophysiological Process;Subject;Predicate;Object;Image_number;Source;Normalized_Input;Category
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;Hypoxia_Ischemia_and_Neurodegeneration;SARS-CoV-2_infection;causes;hypoxia;image_1;LLM;sars cov 2 infection hypoxia;Systemic Cross-Organ Effects
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;Hypoxia_Ischemia_and_Neurodegeneration;Hypoxia;leads_to;ischemia;image_1;LLM;hypoxia ischemia;Systemic Cross-Organ Effects
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;Hypoxia_Ischemia_and_Neurodegeneration;Ischemia;results_in;neurodegeneration;image_1;LLM;ischemia neurodegeneration;Vascular Effects
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;Microglia_and_Astrocyte_Activation;SARS-CoV-2_infection;triggers;microglia_activation;image_1;LLM;sars cov 2 infection microglia activation;Systemic Cross-Organ Effects
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;Microglia_and_Astrocyte_Activation;Microglia_activation;causes;astrocyte_activation;image_1;LLM;microglia activation astrocyte activation;Immune and Inflammatory Response
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;Microglia_and_Astrocyte_Activation;Cytotoxic_T_lymphocyte_infiltration;leads_to;neurocognitive_deficits;image_1;LLM;cytotoxic t lymphocyte infiltration neurocognitive deficits;Immune and Inflammatory Response
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;Olfactory_System_Impact;SARS-CoV-2_infection;affects;olfactory_sensory_neuron;image_1;LLM;sars cov 2 infection olfactory sensory neuron;Systemic Cross-Organ Effects
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;Olfactory_System_Impact;Olfactory_sensory_neuron;involves;anosmia;image_1;LLM;olfactory sensory neuron anosmia;Viral Entry and Neuroinvasion
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;Olfactory_System_Impact;Olfactory_ectomesenchymal_stem_cells;are_affected_by;SARS-CoV-2_infection;image_1;LLM;olfactory ectomesenchymal stem cells sars cov 2 infection;Systemic Cross-Organ Effects
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;Gut_Dysbiosis;SARS-CoV-2_infection;causes;gut_dysbiosis;image_1;LLM;sars cov 2 infection gut dysbiosis;Systemic Cross-Organ Effects
