Image_number,Original_URL,GitHub_URL,Pathophysiological Process,Subject,Predicate,Object
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_4.jpg,Neurological_Conditions_Increase,COVID_infection,increases,neurological_conditions_by_7_percent
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_4.jpg,Cognitive_Deficit_Risk,Long_COVID_patients,have,increased_risk_of_cognitive_deficit
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_4.jpg,Dementia_Risk,Long_COVID_patients,have,increased_risk_of_dementia
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_4.jpg,Psychotic_Disorders_Risk,Long_COVID_patients,have,increased_risk_of_psychotic_disorders
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_4.jpg,Epilepsy_Seizures_Risk,Long_COVID_patients,have,increased_risk_of_epilepsy_or_seizures
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_4.jpg,Brain_Impairments,COVID_infection,causes,brain_impairments_in_6.6_million_people
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_6.jpg,Macrophage/Microglial_Dysregulation,SARS-CoV-2,causes,elevated_inflammation
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_6.jpg,Macrophage/Microglial_Dysregulation,TREM2/DAP12,mediates,proinflammatory_cytokine_release
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_6.jpg,Membrane_&_Lipid_Dysregulation,SARS-CoV-2,alters,lipid_raft_microdomain
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_6.jpg,Mitochondrial_Dysregulation,SARS-CoV-2,affects,MAVS_in_COVID
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_6.jpg,Mitochondrial_Dysregulation,VDAC1,regulates,cell_cycle
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_6.jpg,Endoplasmic_Reticular_Dysfunction,SARS-CoV-2,induces,ER_stress
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_6.jpg,Endoplasmic_Reticular_Dysfunction,ER_stress,triggers,ER-phagy
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Production_of_Effector_Molecules,SARS-CoV-2_infection,induces,pro-inflammatory_cytokines
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Production_of_Effector_Molecules,SARS-CoV-2_infection,leads_to,autoantibodies_production
