Image_number,URL,GitHub_URL,Pathophysiological Process,Subject,Predicate,Object
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_4.jpg,Neurological_Conditions_Increase,COVID_Infection,increases,Neurological_Conditions
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_4.jpg,Cognitive_Deficit_Risk,Long_COVID,increases_risk_of,Cognitive_Deficit
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_4.jpg,Dementia_Risk,Long_COVID,increases_risk_of,Dementia
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_4.jpg,Psychotic_Disorders_Risk,Long_COVID,increases_risk_of,Psychotic_Disorders
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_4.jpg,Epilepsy_Seizures_Risk,Long_COVID,increases_risk_of,Epilepsy_or_Seizures
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Production_of_Effector_Molecules,SARS-CoV-2_infection,induces,pro-inflammatory_cytokines
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Production_of_Effector_Molecules,SARS-CoV-2_infection,induces,autoantibodies
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Blood-brain_Barrier_Leakage,SARS-CoV-2_infection,causes,haemorrhage
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Blood-brain_Barrier_Leakage,SARS-CoV-2_infection,causes,leukocytes_infiltration
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Cell_Infection,SARS-CoV-2,binds,ACE2
