URL;Pathophysiological Process;Subject;Predicate;Object;Normalized_Input;Category;Category_GPT;Final_Category;Source
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs12640-020-00219-8/MediaObjects/12640_2020_219_Fig1_HTML.png;Viral_Entry_Through_Olfactory_Neurons;SARS-CoV-2;enters;olfactory_neurons;viral entry through olfactory neurons;Viral Entry and Neuroinvasion;;Viral Entry and Neuroinvasion;LLM
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs12640-020-00219-8/MediaObjects/12640_2020_219_Fig1_HTML.png;Viral_Entry_Through_Olfactory_Neurons;Olfactory_neurons;connect_to;olfactory_bulb;viral entry through olfactory neurons;Viral Entry and Neuroinvasion;;Viral Entry and Neuroinvasion;LLM
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs12640-020-00219-8/MediaObjects/12640_2020_219_Fig1_HTML.png;Viral_Entry_Through_Olfactory_Neurons;SARS-CoV-2;reaches;brain;viral entry through olfactory neurons;Viral Entry and Neuroinvasion;;Viral Entry and Neuroinvasion;LLM
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs12640-020-00219-8/MediaObjects/12640_2020_219_Fig1_HTML.png;Blood-Brain_Barrier_Disruption;SARS-CoV-2;binds_to;ACE2;blood brain barrier disruption;Viral Entry and Neuroinvasion;;Viral Entry and Neuroinvasion;LLM
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs12640-020-00219-8/MediaObjects/12640_2020_219_Fig1_HTML.png;Blood-Brain_Barrier_Disruption;ACE2;located_on;endothelial_cells;blood brain barrier disruption;Viral Entry and Neuroinvasion;;Viral Entry and Neuroinvasion;LLM
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs12640-020-00219-8/MediaObjects/12640_2020_219_Fig1_HTML.png;Blood-Brain_Barrier_Disruption;Endothelial_cells;form;blood-brain_barrier;blood brain barrier disruption;Viral Entry and Neuroinvasion;;Viral Entry and Neuroinvasion;LLM
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs12640-020-00219-8/MediaObjects/12640_2020_219_Fig1_HTML.png;Blood-Brain_Barrier_Disruption;Blood-brain_barrier;experiences;disruption;blood brain barrier disruption;Viral Entry and Neuroinvasion;;Viral Entry and Neuroinvasion;LLM
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs12640-020-00219-8/MediaObjects/12640_2020_219_Fig1_HTML.png;Blood-Brain_Barrier_Disruption;Disruption;causes;brain_edema;blood brain barrier disruption;Viral Entry and Neuroinvasion;;Viral Entry and Neuroinvasion;LLM
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs12640-020-00219-8/MediaObjects/12640_2020_219_Fig1_HTML.png;Immune_Response_Activation;Unknown_trigger;activates;B_cells;immune response activation;Immune and Inflammatory Response;;Immune and Inflammatory Response;LLM
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs12640-020-00219-8/MediaObjects/12640_2020_219_Fig1_HTML.png;Immune_Response_Activation;Activated_B_cells;produce;antibodies;immune response activation;Immune and Inflammatory Response;;Immune and Inflammatory Response;LLM
