Source,Mechanism,TripleCount
CBM,Acute COVID-19,4
CBM,Ageusia,3
CBM,Altered_functions_in_Aged_Brains,9
CBM,Alveolitis,1
CBM,Alzheimer's disease,15
CBM,Anosmia,8
CBM,Brain fog; Neuropsychiatric disorder,3
CBM,COVID-19,482
CBM,COVID-19 Complication,11
CBM,COVID-19 infection route,7
CBM,COVID-19 invasion,5
CBM,COVID-19-induced neurological symptoms,5
CBM,COVID-19; Parkinson's disease,16
CBM,Changes in tau Protein,4
CBM,Coronavirus endocytosis,13
CBM,Covid-19 related dysfunction,22
CBM,Cytokine storm,14
CBM,Depression in COVID-19,9
CBM,Direct effects of COVID-19,3
CBM,Direct neuroinvasion,1
CBM,Dysbiosis,11
CBM,Endoplasmic Reticulum Stress,6
CBM,Fatigue in Long Covid,6
CBM,Hematogenous neuropathology,3
CBM,Hypoxic injury,3
CBM,Immunological effects of COVID-19,3
CBM,In-direct effects of COVID-19,9
CBM,Indirect post-infectious autoimmune effects in COVID-19,2
CBM,Indirect vascular effects in COVID-19,3
CBM,Missing,625
CBM,Mitochondrial Damage,4
CBM,Nerve Degeneration,2
CBM,NeuroCOVID,12
CBM,Neurocognitive Disorders,1
CBM,Neuroinflammation,13
CBM,Neuroinflammation in COVID-19,21
CBM,Neurological manifestation after COVID-19 infection,8
CBM,Neuropathological mechanisms in COVID-19,2
CBM,Non-immunological effects of COVID-19,6
CBM,Olfactory Mucosa infection,1
CBM,Olfactory bulb neuropathology,2
CBM,Physiological_Functions_in_Healthy_Adult,4
CBM,Primary pathogenesis after SARS-CoV2 infection,3
CBM,Renin-Angiotensin System,10
CBM,Respiratory complication,6
CBM,SARS-CoV2 entry into CNS,3
CBM,SARS-CoV2 infection spread to brain,2
CBM,SARS-CoV2 mediated Alzheimer's disease,1
CBM,SARS-Cov2 infection spread,4
CBM,Spreading COVID-19 infection,11
CBM,"Stress, Psychological",15
CBM,"Systemic illness; Stress, Psychological",2
CBM,Type-I interferon production,1
CBM,abberant IFN response,1
CBM,blood vessel injury,6
CBM,brain inflammation,18
CBM,cerebrovascular disease,19
CBM,coagulopathy,2
CBM,cytokine depletion,1
CBM,cytokine production involved in inflammatory response,6
CBM,dysregulated antibody generation,3
CBM,ferroptosis inhibition,2
CBM,gastrointestinal system disease,3
CBM,imbalance of AT1R/AT2R ratio,2
CBM,imbalance of MAS R/AT1R ratio,1
CBM,impaired blood-brain barrier function,27
CBM,inflammatory response,7
CBM,leaky gut,6
CBM,long COVID,4
CBM,multi-organ dysfunction,2
CBM,neuron apoptotic process,4
CBM,post-Covid anosmia,2
CBM,systemic inflammatory response,11
CBM,thrombophilia,2
CBM,vasoconstriction,5
CBM,vasoprotection,3
CBM,viral infection spread to brain,1
CBM,viral infectious disease,4
LLM,ACE2_Downregulation,1
LLM,ACE2_Modulation,4
LLM,AD_Dementia,1
LLM,ARDS,1
LLM,Aberrant_IFN_response,1
LLM,Aberrant_Peripheral_Inflammation,3
LLM,Abnormal_coagulation,3
LLM,Activated_Macrophage_Infiltration,2
LLM,Activated_Microglial_Cells,1
LLM,Activation_of_Astrocytes_and_T-Lymphocytes,1
LLM,Activation_of_Cells,2
LLM,Activation_of_dendritic_cell,4
LLM,Acute_Respiratory_Distress_Syndrome,2
LLM,Adaptive_Autoimmunity,1
LLM,Ageusia_Anosmia_and_Visual_Impairment,1
LLM,Alamandine_Effects,5
LLM,Altered_Dopamine_Metabolism,1
LLM,Alzheimer's_Disease_Progression,1
LLM,Amyloid_Fibril_Formation,1
LLM,Angiotensin_(1-7)_Effects,3
LLM,Angiotensin_II_Effects,5
LLM,Angiotensin_IV_Effects,4
LLM,Angiotensin_Imbalance,5
LLM,Anterograde_Signaling,2
LLM,Antibodies_generation_dysregulation,1
LLM,Anxiety_and_Confusion,1
LLM,Apoptosis,1
LLM,Arteriolar_Thrombosis,1
LLM,Astrocyte_Activation,11
LLM,Astrocyte_Interaction,1
LLM,Astrocyte_Reactivity,1
LLM,Astrocyte_and_Microglia_Alteration,1
LLM,Astroglia_Activation,1
LLM,Astrogliosis,2
LLM,Autoantibody_Production,1
LLM,Autoimmune_Mechanisms,1
LLM,Autoimmune_disorders,1
LLM,Autoimmunity,2
LLM,Autonomic_dysfunction,1
LLM,Autonomic_dysregulation,2
LLM,Avoidance_of_Healthcare_Settings,1
LLM,Axonal_Injury,2
LLM,Axonal_Transport_and_Trans-synaptic_Transfer,1
LLM,Aβ_Accumulation,2
LLM,B-cell_Infiltration,2
LLM,BBB_Breakdown,2
LLM,BBB_Disruption,5
LLM,BBB_Dysfunction,1
LLM,BBB_Leakage,4
LLM,BBB_breakdown,1
LLM,BBB_disruption,2
LLM,Blood-Brain-Barrier,1
LLM,Blood-Brain_Barrier_Compromise,2
LLM,Blood-Brain_Barrier_Disruption,8
LLM,Blood-brain_Barrier_Leakage,3
LLM,Blood_Brain_Barrier_Disruption,1
LLM,Blood_Circulatory_Pathway,1
LLM,Blood_Clot_Formation,2
LLM,Blood_Coagulation,2
LLM,Blood_brain_barrier_damage,2
LLM,Brain_Damage,3
LLM,Brain_Impact,5
LLM,Brain_Stroke,1
LLM,Brain_inflammation,1
LLM,Brainstem_Inflammation,1
LLM,CCL11_Elevation,2
LLM,CNS_Cytokine_Storm,2
LLM,CNS_Invasion,5
LLM,CNS_Viral_Infection,3
LLM,COVID-19_Associated_Stroke,1
LLM,Ca2+_overload,2
LLM,Capillary_Thrombosis,1
LLM,Cardiovascular-Metabolic_Comorbidities,1
LLM,Carotid_Body_and_Sinus,1
LLM,Cell_Death,2
LLM,Cell_Infection,1
LLM,Cell_Lysis,2
LLM,Cellular_Stress_and_Toxicity,2
LLM,Cephalgia,1
LLM,Cerebral_Artery_Atheroma,1
LLM,Cerebral_Artery_Thrombosis,1
LLM,Cerebrovascular_Disease,1
LLM,Cerebrovascular_and_Endothelial_Disease,1
LLM,Cerebrovascular_changes,1
LLM,Chemokine_Release,1
LLM,Chemosensory_Function,1
LLM,Choroid_Plexus_Alteration,1
LLM,Chronic_Neuroinflammation/Neurodegeneration,2
LLM,Chronic_inflammation_at_neuromuscular_junctions,1
LLM,Chronic_inflammation_in_brain,1
LLM,Chronic_neurological_disorders,1
LLM,Chronic_neuronal_damage,2
LLM,Circadian_System,1
LLM,Circumventricular_Organs,1
LLM,Circumventricular_Organs_Impact,1
LLM,Clearance_Alteration,1
LLM,Clockophagy,3
LLM,Clotting_Factor_Production,1
LLM,Coagulation,2
LLM,Coagulation_Dysfunction,1
LLM,Coagulopathies_&_Thrombus_Formation,2
LLM,Coagulopathy,1
LLM,Cognitive_Decline,1
LLM,Cognitive_Impairment,1
LLM,Combination_of_changes,1
LLM,Control_of_Vascular_Risk_Factors,1
LLM,Cytokine_Release,2
LLM,Cytokine_Storm,20
LLM,Cytokine_storm,3
LLM,Cytotoxic_T_Lymphocyte_Activation,1
LLM,Cytotoxicity,1
LLM,DIC,1
LLM,Degeneration/Necrosis,1
LLM,Degeneration_and_Inflammation,2
LLM,Demyelination,5
LLM,Depression/Headache,1
LLM,Destruction_of_Synapses_and_Neurons,1
LLM,Direct_Infection_of_Epithelial_Cells,1
LLM,Direct_Viral_Invasion_of_Neurons_&_Cerebrovascular_Endothelial_Cells,3
LLM,Direct_invasion_and_damage,3
LLM,Direct_neuroinvasion,1
LLM,Direct_viral_encephalitis,1
LLM,Disability,1
LLM,Disruption_of_Blood-Brain_Barrier,1
LLM,Dizziness,1
LLM,Dural_Sinuses,1
LLM,Dysregulated_Immune_Response,4
LLM,Dysregulation_of_regulatory_T_cell,4
LLM,ER_Stress,2
LLM,Effects_on_B_cell,3
LLM,Elevated_Cytokines,1
LLM,Elevation_in_CNS_cytokines,2
LLM,Elevation_in_peripheral_cytokines,4
LLM,Embolism_Formation,1
LLM,Encephalitis,1
LLM,Endothelial_Cell_Damage,2
LLM,Endothelial_Damage,4
LLM,Endothelial_Infection,1
LLM,Endotheliitis,1
LLM,Endotheliitis_in_Olfactory_Bulbs,1
LLM,Epithelial-humoral_route,3
LLM,Excitotoxicity,2
LLM,Exosome_Release,1
LLM,Eye_Involvement,1
LLM,Ferroptosis,5
LLM,Ferroptosis_Inhibition,3
LLM,From_Gastric_Route_to_Brain,2
LLM,From_Lungs_to_Brain,2
LLM,Gastrointestinal_Problem,3
LLM,Glial_Activation,3
LLM,Glial_Cells_Activation,5
LLM,Glutamate_Release,2
LLM,Glymphatic_System,1
LLM,Gut_Dysbiosis,3
LLM,Gut_Microbiota_Dysbiosis,1
LLM,HPA_Axis,1
LLM,HSCs/Bone_Marrow_Niches,1
LLM,Haematogenous,1
