,URL,DOI,Mechanism,Subject,Predicate,Object
0,https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs13062-020-00282-3/MediaObjects/13062_2020_282_Fig1_HTML.png,10.1186/s13062-020-00282-3,Direct_infection_of_neural_cells,SARS-CoV-2,infects,neural_cells
1,https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs13062-020-00282-3/MediaObjects/13062_2020_282_Fig1_HTML.png,10.1186/s13062-020-00282-3,Direct_infection_of_neural_cells,ACE2,mediates,SARS-CoV-2_entry_into_neural_cells
2,https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs13062-020-00282-3/MediaObjects/13062_2020_282_Fig1_HTML.png,10.1186/s13062-020-00282-3,Blood-brain-barrier_destruction,SARS-CoV-2,infects,epithelial_cells
3,https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs13062-020-00282-3/MediaObjects/13062_2020_282_Fig1_HTML.png,10.1186/s13062-020-00282-3,Blood-brain-barrier_destruction,Epithelial_cell_infection,induces,immune_infiltration_to_brain
4,https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs13062-020-00282-3/MediaObjects/13062_2020_282_Fig1_HTML.png,10.1186/s13062-020-00282-3,Systemic_Inflammation,Systemic_inflammation,affects,blood-brain-barrier
5,https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs13062-020-00282-3/MediaObjects/13062_2020_282_Fig1_HTML.png,10.1186/s13062-020-00282-3,Systemic_Inflammation,Systemic_inflammation,causes,dysfunctional_myeloid_cells
6,https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs13062-020-00282-3/MediaObjects/13062_2020_282_Fig1_HTML.png,10.1186/s13062-020-00282-3,Systemic_Inflammation,Systemic_inflammation,leads_to,lymphopenia
7,https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs13062-020-00282-3/MediaObjects/13062_2020_282_Fig1_HTML.png,10.1186/s13062-020-00282-3,Systemic_Inflammation,Systemic_inflammation,causes,cytokine_storm
8,https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs13062-020-00282-3/MediaObjects/13062_2020_282_Fig1_HTML.png,10.1186/s13062-020-00282-3,Thrombosis,SARS-CoV-2,causes,epithelium_damage
9,https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs13062-020-00282-3/MediaObjects/13062_2020_282_Fig1_HTML.png,10.1186/s13062-020-00282-3,Thrombosis,Epithelium_damage,causes,thrombo-inflammation
10,https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs13062-020-00282-3/MediaObjects/13062_2020_282_Fig1_HTML.png,10.1186/s13062-020-00282-3,Ischemia,SARS-CoV-2,causes,respiratory_failure
11,https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs13062-020-00282-3/MediaObjects/13062_2020_282_Fig1_HTML.png,10.1186/s13062-020-00282-3,Ischemia,Respiratory_failure,leads_to,ischemia
12,https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs13062-020-00282-3/MediaObjects/13062_2020_282_Fig1_HTML.png,10.1186/s13062-020-00282-3,Psychological_stress,COVID-19_disease,causes,disease_burden
13,https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs13062-020-00282-3/MediaObjects/13062_2020_282_Fig1_HTML.png,10.1186/s13062-020-00282-3,Psychological_stress,COVID-19_pandemic,causes,social_distance
14,https://www.mdpi.com/cells/cells-11-01298/article_deploy/html/images/cells-11-01298-g005.png,https://doi.org/10.3390/cells11081298,Astrocyte_Activation,SARS-CoV-2_infection,triggers,Astrocyte_activation
15,https://www.mdpi.com/cells/cells-11-01298/article_deploy/html/images/cells-11-01298-g005.png,https://doi.org/10.3390/cells11081298,Microglial_marker_activation,SARS-CoV-2_infection,triggers,Microglial_marker_activation
16,https://www.mdpi.com/cells/cells-11-01298/article_deploy/html/images/cells-11-01298-g005.png,https://doi.org/10.3390/cells11081298,Microglial_marker_activation,Microglial_marker_activation,activates,Microglia_activation
17,https://www.mdpi.com/cells/cells-11-01298/article_deploy/html/images/cells-11-01298-g005.png,https://doi.org/10.3390/cells11081298,Systemic_inflammation,SARS-CoV-2_infection,causes,Systemic_inflammation
18,https://www.mdpi.com/cells/cells-11-01298/article_deploy/html/images/cells-11-01298-g005.png,https://doi.org/10.3390/cells11081298,Microglia_activation,Systemic_inflammation,triggers,Microglia_activation
19,https://www.mdpi.com/cells/cells-11-01298/article_deploy/html/images/cells-11-01298-g005.png,https://doi.org/10.3390/cells11081298,Oxidative_and_nitrosative_stress_increase,SARS-CoV-2_infection,leads_to,Oxidative_and_nitrosative_stress_increase
20,https://www.mdpi.com/cells/cells-11-01298/article_deploy/html/images/cells-11-01298-g005.png,https://doi.org/10.3390/cells11081298,Complement_system_activation,SARS-CoV-2_infection,triggers,Complement_system_activation
21,https://www.mdpi.com/cells/cells-11-01298/article_deploy/html/images/cells-11-01298-g005.png,https://doi.org/10.3390/cells11081298,Neuroinflammation_and_Neurodegeneration,Astrocyte_activation,leads_to,Neuroinflammation_and_Neurodegeneration
22,https://www.mdpi.com/cells/cells-11-01298/article_deploy/html/images/cells-11-01298-g005.png,https://doi.org/10.3390/cells11081298,Neuroinflammation_and_Neurodegeneration,Microglia_activation,leads_to,Neuroinflammation_and_Neurodegeneration
23,https://www.mdpi.com/cells/cells-11-01298/article_deploy/html/images/cells-11-01298-g001.png,https://doi.org/10.3390/cells11081298,Activation_of_Microglia,SARS-CoV-2_infection,triggers,activation_of_CD4+_T_cells
24,https://www.mdpi.com/cells/cells-11-01298/article_deploy/html/images/cells-11-01298-g001.png,https://doi.org/10.3390/cells11081298,Activation_of_Microglia,activated_CD4+_T_cells,infiltrate,BBB
25,https://www.mdpi.com/cells/cells-11-01298/article_deploy/html/images/cells-11-01298-g001.png,https://doi.org/10.3390/cells11081298,Activation_of_Microglia,BBB_dysfunction,allows,infiltrating_T_cells_into_CNS
26,https://www.mdpi.com/cells/cells-11-01298/article_deploy/html/images/cells-11-01298-g001.png,https://doi.org/10.3390/cells11081298,Activation_of_Microglia,infiltrating_T_cells,trigger,activation_of_microglia
27,https://www.mdpi.com/cells/cells-11-01298/article_deploy/html/images/cells-11-01298-g001.png,https://doi.org/10.3390/cells11081298,Activation_of_Microglia,activated_microglia,release,IL-1β
28,https://www.mdpi.com/cells/cells-11-01298/article_deploy/html/images/cells-11-01298-g001.png,https://doi.org/10.3390/cells11081298,Activation_of_Microglia,activated_microglia,release,IL-6
29,https://www.mdpi.com/cells/cells-11-01298/article_deploy/html/images/cells-11-01298-g001.png,https://doi.org/10.3390/cells11081298,Activation_of_Microglia,activated_microglia,release,TNF-α
30,https://www.mdpi.com/cells/cells-11-01298/article_deploy/html/images/cells-11-01298-g001.png,https://doi.org/10.3390/cells11081298,Activation_of_Microglia,IL-1β,promotes,neuronal_cells_death
31,https://www.mdpi.com/cells/cells-11-01298/article_deploy/html/images/cells-11-01298-g001.png,https://doi.org/10.3390/cells11081298,Activation_of_Microglia,IL-6,promotes,neuronal_cells_death
32,https://www.mdpi.com/cells/cells-11-01298/article_deploy/html/images/cells-11-01298-g001.png,https://doi.org/10.3390/cells11081298,Activation_of_Microglia,TNF-α,promotes,neuronal_cells_death
33,https://www.mdpi.com/cells/cells-11-01298/article_deploy/html/images/cells-11-01298-g001.png,https://doi.org/10.3390/cells11081298,Activation_of_Microglia,neuronal_cells_death,results_in,elevation_of_oxidative_stress
34,https://www.mdpi.com/cells/cells-11-01298/article_deploy/html/images/cells-11-01298-g001.png,https://doi.org/10.3390/cells11081298,Activation_of_Microglia,neuronal_cells_death,results_in,accumulation_of_misfolded_proteins
35,https://www.mdpi.com/cells/cells-11-01298/article_deploy/html/images/cells-11-01298-g001.png,https://doi.org/10.3390/cells11081298,Activation_of_Microglia,neuronal_cells_death,induces,apoptotic_cell_death
36,https://www.mdpi.com/cells/cells-11-01298/article_deploy/html/images/cells-11-01298-g001.png,https://doi.org/10.3390/cells11081298,Activation_of_Microglia,apoptotic_cell_death,leads_to,neurodegeneration
37,https://www.mdpi.com/cells/cells-11-01298/article_deploy/html/images/cells-11-01298-g001.png,https://doi.org/10.3390/cells11081298,Astrocyte_Activation,infiltrating_T_cells,release,inflammatory_cytokines
38,https://www.mdpi.com/cells/cells-11-01298/article_deploy/html/images/cells-11-01298-g001.png,https://doi.org/10.3390/cells11081298,Astrocyte_Activation,inflammatory_cytokines,activate,astrocytes
39,https://www.mdpi.com/cells/cells-11-01298/article_deploy/html/images/cells-11-01298-g001.png,https://doi.org/10.3390/cells11081298,Astrocyte_Activation,activated_astrocytes,release,glutamate
40,https://www.mdpi.com/cells/cells-11-01298/article_deploy/html/images/cells-11-01298-g001.png,https://doi.org/10.3390/cells11081298,Astrocyte_Activation,glutamate,promotes,neuronal_cells_death
41,https://www.mdpi.com/cells/cells-11-01298/article_deploy/html/images/cells-11-01298-g001.png,https://doi.org/10.3390/cells11081298,Astrocyte_Activation,neuronal_cells_death,leads_to,neurodegeneration
42,https://www.frontiersin.org/files/Articles/583459/fneur-11-583459-HTML/image_m/fneur-11-583459-g001.jpg,https://doi.org/10.3389/fneur.2020.583459,Neuronal_retrograde_route,SARS-CoV-2_infection,affects,Olfactory_nerve
43,https://www.frontiersin.org/files/Articles/583459/fneur-11-583459-HTML/image_m/fneur-11-583459-g001.jpg,https://doi.org/10.3389/fneur.2020.583459,Neuronal_retrograde_route,SARS-CoV-2_infection,affects,Vagus_nerve
44,https://www.frontiersin.org/files/Articles/583459/fneur-11-583459-HTML/image_m/fneur-11-583459-g001.jpg,https://doi.org/10.3389/fneur.2020.583459,Neuronal_retrograde_route,SARS-CoV-2_infection,affects,Trigeminal_nerve
45,https://www.frontiersin.org/files/Articles/583459/fneur-11-583459-HTML/image_m/fneur-11-583459-g001.jpg,https://doi.org/10.3389/fneur.2020.583459,Hematogenous_route,SARS-CoV-2_infection,causes,Hypoxia
46,https://www.frontiersin.org/files/Articles/583459/fneur-11-583459-HTML/image_m/fneur-11-583459-g001.jpg,https://doi.org/10.3389/fneur.2020.583459,Hematogenous_route,Hypoxia,affects,Bloodstream
47,https://www.frontiersin.org/files/Articles/583459/fneur-11-583459-HTML/image_m/fneur-11-583459-g001.jpg,https://doi.org/10.3389/fneur.2020.583459,Hematogenous_route,SARS-CoV-2_infection,uses,Bloodstream
48,https://www.frontiersin.org/files/Articles/583459/fneur-11-583459-HTML/image_m/fneur-11-583459-g001.jpg,https://doi.org/10.3389/fneur.2020.583459,Blood-brain-barrier,SARS-CoV-2_infection,targets,ACE2
